,MSFT,V,WMT
1,311.57,226.62,52.09
2,333.64,231.64,53.23
3,373.9,252.9,50.71
4,371.82,257.06,51.35
5,393.12,269.81,54.02
6,409,279.07,57.48
7,416.77,276.07,59.01
8,385.67,265.71,58.41
9,411.23,269.62,64.72
10,443.55,260.12,66.87
11,415.17,263.29,67.78
12,413.97,273.89,76.27
13,427.8,273.03,79.97
14,403.99,287.83,81.16
15,421,312.88,91.61
16,419.89,314.43,89.48
17,413.47,340.06,97.43
18,395.37,360.87,97.87
19,374.7,349.26,87.13
20,394.54,344.32,96.79
21,459.52,363.94,98.25
22,497.41,354.43,97.55
23,533.5,344.86,97.75
24,520.17,343.86,99.77
